Round,Result,Running_Money,Debug
17768,Loss,465,"Result: Loss, Money: $465"
17769,Win,466,"Result: Win, Money: $466"
17770,Win,467,"Result: Win, Money: $467"
17771,Win,468,"Result: Win, Money: $468"
17772,Win,469,"Result: Win, Money: $469"
17773,Loss,468,"Result: Loss, Money: $468"
17774,Win,469,"Result: Win, Money: $469"
17775,Loss,467,"Result: Loss, Money: $467"
17776,Win,468,"Result: Win, Money: $468"
17777,Loss,467,"Result: Loss, Money: $467"
17778,Win,468,"Result: Win, Money: $468"
17779,Loss,467,"Result: Loss, Money: $467"
17780,Win,468,"Result: Win, Money: $468"
17781,Loss,467,"Result: Loss, Money: $467"
17782,Win,468,"Result: Win, Money: $468"
17783,Win,469,"Result: Win, Money: $469"
17784,Win,470,"Result: Win, Money: $470"
17785,Push,470,"Result: Push, Money: $470"
17786,Win,472,"Result: Win, Money: $472"
17787,Loss,471,"Result: Loss, Money: $471"
17788,Loss,470,"Result: Loss, Money: $470"
17789,Loss,469,"Result: Loss, Money: $469"
17790,Loss,468,"Result: Loss, Money: $468"
17791,Loss,467,"Result: Loss, Money: $467"
17792,Win,468,"Result: Win, Money: $468"
17793,Win,470,"Result: Win, Money: $470"
17794,Win,471,"Result: Win, Money: $471"
17795,Push,471,"Result: Push, Money: $471"
17796,Loss,470,"Result: Loss, Money: $470"
17797,Loss,469,"Result: Loss, Money: $469"
17798,Loss,468,"Result: Loss, Money: $468"
17799,Win,469,"Result: Win, Money: $469"
17800,Push,469,"Result: Push, Money: $469"
17801,Loss,468,"Result: Loss, Money: $468"
17802,Win,469,"Result: Win, Money: $469"
17803,Win,470,"Result: Win, Money: $470"
17804,Loss,469,"Result: Loss, Money: $469"
17805,Win,470,"Result: Win, Money: $470"
17806,Loss,469,"Result: Loss, Money: $469"
17807,Win,470,"Result: Win, Money: $470"
17808,Win,471,"Result: Win, Money: $471"
17809,Win,472,"Result: Win, Money: $472"
17810,Push,472,"Result: Push, Money: $472"
17811,Loss,471,"Result: Loss, Money: $471"
17812,Loss,470,"Result: Loss, Money: $470"
17813,Push,470,"Result: Push, Money: $470"
17814,Push,470,"Result: Push, Money: $470"
17815,Loss,469,"Result: Loss, Money: $469"
17816,Loss,468,"Result: Loss, Money: $468"
17817,Loss,467,"Result: Loss, Money: $467"
17818,Loss,466,"Result: Loss, Money: $466"
17819,Win,467,"Result: Win, Money: $467"
17820,Loss,466,"Result: Loss, Money: $466"
17821,Win,467,"Result: Win, Money: $467"
17822,Loss,466,"Result: Loss, Money: $466"
17823,Win,467,"Result: Win, Money: $467"
17824,Win,468,"Result: Win, Money: $468"
17825,Push,468,"Result: Push, Money: $468"
17826,Win,469,"Result: Win, Money: $469"
17827,Win,470,"Result: Win, Money: $470"
17828,Loss,469,"Result: Loss, Money: $469"
17829,Loss,468,"Result: Loss, Money: $468"
17830,Loss,467,"Result: Loss, Money: $467"
17831,Win,468,"Result: Win, Money: $468"
17832,Loss,467,"Result: Loss, Money: $467"
17833,Loss,466,"Result: Loss, Money: $466"
17834,Loss,465,"Result: Loss, Money: $465"
17835,Win,466,"Result: Win, Money: $466"
17836,Win,467,"Result: Win, Money: $467"
17837,Push,467,"Result: Push, Money: $467"
17838,Loss,466,"Result: Loss, Money: $466"
17839,Win,467,"Result: Win, Money: $467"
17840,Loss,466,"Result: Loss, Money: $466"
17841,Loss,465,"Result: Loss, Money: $465"
17842,Loss,464,"Result: Loss, Money: $464"
17843,Win,465,"Result: Win, Money: $465"
17844,Loss,464,"Result: Loss, Money: $464"
17845,Win,465,"Result: Win, Money: $465"
17846,Win,466,"Result: Win, Money: $466"
17847,Loss,465,"Result: Loss, Money: $465"
17848,Win,466,"Result: Win, Money: $466"
17849,Win,467,"Result: Win, Money: $467"
17850,Win,468,"Result: Win, Money: $468"
17851,Win,469,"Result: Win, Money: $469"
17852,Loss,468,"Result: Loss, Money: $468"
17853,Loss,467,"Result: Loss, Money: $467"
17854,Loss,466,"Result: Loss, Money: $466"
17855,Win,467,"Result: Win, Money: $467"
17856,Loss,466,"Result: Loss, Money: $466"
17857,Loss,464,"Result: Loss, Money: $464"
17858,Win,465,"Result: Win, Money: $465"
17859,Win,466,"Result: Win, Money: $466"
17860,Win,467,"Result: Win, Money: $467"
17861,Win,469,"Result: Win, Money: $469"
17862,Win,470,"Result: Win, Money: $470"
17863,Loss,469,"Result: Loss, Money: $469"
17864,Loss,468,"Result: Loss, Money: $468"
17865,Win,469,"Result: Win, Money: $469"
17866,Loss,468,"Result: Loss, Money: $468"
17867,Win,469,"Result: Win, Money: $469"
17868,Loss,468,"Result: Loss, Money: $468"
